ID,Symbol,Time,Price,Volume
417,TWTR,18:18:43.846784,16.49,25847151
418,HPQ,18:18:43.846784,18.805,2021683
419,GOOGL,18:18:43.846784,888.9551,805557
420,AMZN,18:18:43.846784,919.3,1440069
421,YHOO,18:19:45.666667,48.4201,3777685
422,INTC,18:19:45.666667,37.1,9555076
423,FB,18:19:45.666667,147.0255,4437023
424,AAPL,18:19:45.666667,143.7,6877803
425,IBM,18:19:45.666667,159.92,1500000
426,MSFT,18:19:45.666667,67.665,5234474
427,TWTR,18:19:45.666667,16.335,16765632
428,HPQ,18:19:45.666667,18.78,4602102
429,GOOGL,18:19:45.666667,890.275,375289
430,AMZN,18:19:45.666667,920.1925,61945
431,YHOO,18:20:47.347794,48.25,5215728
432,INTC,18:20:47.347794,37.09,13675673
433,FB,18:20:47.347794,147.0255,4437023
434,AAPL,18:20:47.347794,143.77,7035709
435,IBM,18:20:47.347794,159.92,1500000
436,MSFT,18:20:47.347794,67.86,4625382
437,TWTR,18:20:47.347794,16.5,28705079
438,HPQ,18:20:47.347794,18.805,2021683
439,GOOGL,18:20:47.347794,889.78,686440
440,AMZN,18:20:47.347794,909.29,2608948
441,YHOO,18:21:49.149234,48.4201,3777685
442,INTC,18:21:49.149234,37.105,11201781
443,FB,18:21:49.149234,147.26,163107
444,AAPL,18:21:49.149234,143.55,4997818
445,IBM,18:21:49.149234,160.1,1889709
446,MSFT,18:21:49.149234,67.86,4625382
447,TWTR,18:21:49.149234,16.555,28103988
448,HPQ,18:21:49.149234,18.805,2021683
449,GOOGL,18:21:49.149234,889.73,557002
450,AMZN,18:21:49.149234,919.1,1429858
451,YHOO,18:22:50.745800,48.26,4053137
452,INTC,18:22:50.745800,36.995,4870516
453,FB,18:22:50.745800,147.34,6444165
454,AAPL,18:22:50.745800,143.77,7035709
455,IBM,18:22:50.745800,159.92,1500000
456,MSFT,18:22:50.745800,67.955,7485818
457,TWTR,18:22:50.745800,16.49,25847151
458,HPQ,18:22:50.745800,18.755,3388119
459,GOOGL,18:22:50.745800,888.9551,805557
460,AMZN,18:22:50.745800,920.1925,61945
461,YHOO,18:23:52.499213,48.36,4566003
462,INTC,18:23:52.499213,36.995,4870516
463,FB,18:23:52.499213,147.29,6104138
464,AAPL,18:23:52.499213,143.55,4997818
465,IBM,18:23:52.499213,159.94,1467206
466,MSFT,18:23:52.499213,67.665,5234474
467,TWTR,18:23:52.499213,16.49,25847151
468,HPQ,18:23:52.499213,18.74,4987061
469,GOOGL,18:23:52.499213,889.78,686440
470,AMZN,18:23:52.499213,919.3,1440069
471,YHOO,18:24:54.736658,48.36,4566003
472,INTC,18:24:54.736658,37.105,11201781
473,FB,18:24:54.736658,147.0255,4437023
474,AAPL,18:24:54.736658,143.7,6877803
475,IBM,18:24:54.736658,159.94,1467206
476,MSFT,18:24:54.736658,67.955,7485818
477,TWTR,18:24:54.736658,16.555,28103988
478,HPQ,18:24:54.736658,18.805,2021683
479,GOOGL,18:24:54.736658,889.78,686440
480,AMZN,18:24:54.736658,909.29,2608948
481,YHOO,18:25:56.404537,48.25,5215728
482,INTC,18:25:56.404537,37.105,11201781
483,FB,18:25:56.404537,147.26,163107
484,AAPL,18:25:56.404537,143.7,6877803
485,IBM,18:25:56.404537,159.94,1467206
486,MSFT,18:25:56.404537,67.775,737308
487,TWTR,18:25:56.404537,16.49,25847151
488,HPQ,18:25:56.404537,18.805,2021683
489,GOOGL,18:25:56.404537,890.275,375289
490,AMZN,18:25:56.404537,920.1925,61945
491,YHOO,18:26:58.053626,48.4201,3777685
492,INTC,18:26:58.053626,37.1,9555076
493,FB,18:26:58.053626,147.26,163107
494,AAPL,18:26:58.053626,143.77,7035709
495,IBM,18:26:58.053626,160.21,1711691
496,MSFT,18:26:58.053626,67.665,5234474
497,TWTR,18:26:58.053626,16.49,25847151
498,HPQ,18:26:58.053626,18.805,2021683
499,GOOGL,18:26:58.053626,889.73,557002
500,AMZN,18:26:58.053626,919.3,1440069
501,YHOO,18:27:59.674639,48.4201,3777685
502,INTC,18:27:59.674639,37.105,11201781
503,FB,18:27:59.674639,147.0255,4437023
504,AAPL,18:27:59.674639,143.7,6877803
505,IBM,18:27:59.674639,159.94,1467206
506,MSFT,18:27:59.674639,67.86,4625382
507,TWTR,18:27:59.674639,16.49,25847151
508,HPQ,18:27:59.674639,18.78,4602102
509,GOOGL,18:27:59.674639,890.275,375289
510,AMZN,18:27:59.674639,919.3,1440069
511,YHOO,18:29:01.298969,48.25,5215728
512,INTC,18:29:01.298969,37.09,13675673
513,FB,18:29:01.298969,147.29,6104138
514,AAPL,18:29:01.298969,143.7,6877803
515,IBM,18:29:01.298969,160.21,1711691
516,MSFT,18:29:01.298969,67.775,737308
517,TWTR,18:29:01.298969,16.49,25847151
518,HPQ,18:29:01.298969,18.755,3388119
519,GOOGL,18:29:01.298969,888.9551,805557
520,AMZN,18:29:01.298969,919.1,1429858
521,YHOO,18:30:02.956740,48.2,5568096
522,INTC,18:30:02.956740,37.105,11201781
523,FB,18:30:02.956740,147.0255,4437023
524,AAPL,18:30:02.956740,143.7,6877803
525,IBM,18:30:02.956740,159.92,1500000
526,MSFT,18:30:02.956740,67.83,26190770
527,TWTR,18:30:02.956740,16.5,28705079
528,HPQ,18:30:02.956740,18.78,4602102
529,GOOGL,18:30:02.956740,889.73,557002
530,AMZN,18:30:02.956740,919.1,1429858
531,YHOO,18:31:04.868707,48.36,4566003
532,INTC,18:31:04.868707,36.995,4870516
533,FB,18:31:04.868707,147.29,6104138
534,AAPL,18:31:04.868707,143.77,7035709
535,IBM,18:31:04.868707,159.94,1467206
536,MSFT,18:31:04.868707,67.83,26190770
537,TWTR,18:31:04.868707,16.555,28103988
538,HPQ,18:31:04.868707,18.78,4602102
539,GOOGL,18:31:04.868707,890.275,375289
540,AMZN,18:31:04.868707,920.1925,61945
541,YHOO,18:32:06.447616,48.36,4566003
542,INTC,18:32:06.447616,36.995,4870516
543,FB,18:32:06.447616,147.34,6444165
544,AAPL,18:32:06.447616,143.7,6877803
545,IBM,18:32:06.447616,160.1,1889709
546,MSFT,18:32:06.447616,67.955,7485818
547,TWTR,18:32:06.447616,16.555,28103988
548,HPQ,18:32:06.447616,18.74,468998
549,GOOGL,18:32:06.447616,890.275,375289
550,AMZN,18:32:06.447616,919.3,1440069
551,YHOO,18:33:08.002597,48.36,4566003
552,INTC,18:33:08.002597,37.09,13675673
553,FB,18:33:08.002597,147.26,163107
554,AAPL,18:33:08.002597,143.68,20041241
555,IBM,18:33:08.002597,159.94,1467206
556,MSFT,18:33:08.002597,67.665,5234474
557,TWTR,18:33:08.002597,16.335,16765632
558,HPQ,18:33:08.002597,18.74,468998
559,GOOGL,18:33:08.002597,890.275,375289
560,AMZN,18:33:08.002597,920.1925,61945
561,YHOO,18:34:21.997574,48.25,5215728
562,INTC,18:34:21.997574,36.995,4870516
563,FB,18:34:21.997574,147.34,6444165
564,AAPL,18:34:21.997574,143.55,4997818
565,IBM,18:34:21.997574,160.1,1889709
566,MSFT,18:34:21.997574,67.955,7485818
567,TWTR,18:34:21.997574,16.5,28705079
568,HPQ,18:34:21.997574,18.755,3388119
569,GOOGL,18:34:21.997574,889.73,557002
570,AMZN,18:34:21.997574,919.3,1440069
571,YHOO,18:35:23.680939,48.25,5215728
572,INTC,18:35:23.680939,37.09,13675673
573,FB,18:35:23.680939,147.29,6104138
574,AAPL,18:35:23.680939,143.55,4997818
575,IBM,18:35:23.680939,159.94,1467206
576,MSFT,18:35:23.680939,67.955,7485818
577,TWTR,18:35:23.680939,16.5,28705079
578,HPQ,18:35:23.680939,18.755,5074327
579,GOOGL,18:35:23.680939,889.78,686440
580,AMZN,18:35:23.680939,919.3,1440069
581,YHOO,18:36:25.368448,48.25,5215728
582,INTC,18:36:25.368448,37.1,9555076
583,FB,18:36:25.368448,147.26,163107
584,AAPL,18:36:25.368448,143.55,4997818
585,IBM,18:36:25.368448,159.92,1500000
586,MSFT,18:36:25.368448,67.955,7485818
587,TWTR,18:36:25.368448,16.555,28103988
588,HPQ,18:36:25.368448,18.755,3388119
589,GOOGL,18:36:25.368448,889.73,557002
